x y z
-3 -3 0.0171520776274912
-2.85 -3 0.015893791903998
-2.7 -3 0.0145264308173015
-2.55 -3 0.0130488264090738
-2.4 -3 0.011459933896812
-2.25 -3 0.00975883729727001
-2.1 -3 0.00794475472840561
-1.95 -3 0.00601704335002873
-1.8 -3 0.00397520390454198
-1.65 -3 0.00181888482080383
-1.5 -3 -0.000452114153775107
-1.35 -3 -0.00283783882531641
-1.2 -3 -0.00533817795925273
-1.05 -3 -0.00795286124603867
-0.9 -3 -0.0106814578494069
-0.75 -3 -0.0135233755558296
-0.6 -3 -0.0164778605396243
-0.45 -3 -0.0195439977536783
-0.3 -3 -0.0227207119511417
-0.15 -3 -0.0260067693386632
0 -3 -0.0294007798569293
0.15 -3 -0.030852977580289
0.3 -3 -0.0323364809512057
0.45 -3 -0.0338510706362946
0.6 -3 -0.035396514463513
0.75 -3 -0.0369725675983489
0.9 -3 -0.0385789727344108
1.05 -3 -0.0402154602980829
1.2 -3 -0.0418817486668678
1.35 -3 -0.0435775444010187
1.5 -3 -0.0453025424880291
1.65 -3 -0.0470564265995214
1.8 -3 -0.0488388693600528
1.95 -3 -0.0506495326273312
2.1 -3 -0.0524880677833115
2.25 -3 -0.0543541160356223
2.4 -3 -0.0562473087287533
2.55 -3 -0.0581672676644197
2.7 -3 -0.0601136054305027
2.85 -3 -0.0620859257379502
3 -3 -0.0640838237650146
-3 -2.85 0.0166866432357056
-2.85 -2.85 0.0155820256247171
-2.7 -2.85 0.0143692441774665
-2.55 -2.85 0.0130470730909376
-2.4 -2.85 0.0116144076659634
-2.25 -2.85 0.0100702700184248
-2.1 -2.85 0.00841381447863354
-1.95 -2.85 0.00664433263887776
-1.8 -2.85 0.00476125801023208
-1.65 -2.85 0.00276417025131004
-1.5 -2.85 0.000652798933617804
-1.35 -2.85 -0.00157297318940874
-1.2 -2.85 -0.00391310743978557
-1.05 -2.85 -0.00636740702567906
-0.9 -2.85 -0.00893551542874915
-0.75 -2.85 -0.0116169153875801
-0.6 -2.85 -0.0144109284924654
-0.45 -2.85 -0.0173167154024051
-0.3 -2.85 -0.0203332766905723
-0.15 -2.85 -0.0234594543197758
0 -2.85 -0.0266939337446357
0.15 -2.85 -0.0280798064937987
0.3 -2.85 -0.029497119587737
0.45 -2.85 -0.0309456628404091
0.6 -2.85 -0.0324252131620573
0.75 -2.85 -0.03393553472916
0.9 -2.85 -0.035476379168878
1.05 -2.85 -0.037047485757665
1.2 -2.85 -0.0386485816336782
1.35 -2.85 -0.0402793820225961
1.5 -2.85 -0.0419395904764237
1.65 -2.85 -0.0436288991248324
1.8 -2.85 -0.0453469889385641
1.95 -2.85 -0.0470935300043979
2.1 -2.85 -0.0488681818111555
2.25 -2.85 -0.0506705935462085
2.4 -2.85 -0.0525004044019183
2.55 -2.85 -0.054357243891434
2.7 -2.85 -0.0562407321732522
2.85 -2.85 -0.058150480383929
3 -2.85 -0.0600860909783243
-3 -2.7 0.0160795084856278
-2.85 -2.7 0.0151299684586519
-2.7 -2.7 0.0140732038123919
-2.55 -2.7 0.0129079306808613
-2.4 -2.7 0.0116329841907391
-2.25 -2.7 0.0102473242599318
-2.1 -2.7 0.00875004109412925
-1.95 -2.7 0.00714036034111687
-1.8 -2.7 0.00541764786368071
-1.65 -2.7 0.00358141409341373
-1.5 -2.7 0.00163131792965465
-1.35 -2.7 -0.000432829849873473
-1.2 -2.7 -0.00261106369741526
-1.05 -2.7 -0.00490326095007132
-0.9 -2.7 -0.00730914005528294
-0.75 -2.7 -0.00982825938712617
-0.6 -2.7 -0.0124600166695271
-0.45 -2.7 -0.0152036490181318
-0.3 -2.7 -0.0180582336080132
-0.15 -2.7 -0.0210226889696887
0 -2.7 -0.0240957769111435
0.15 -2.7 -0.0254145434039903
0.3 -2.7 -0.0267648800092757
0.45 -2.7 -0.0281465857996777
0.6 -2.7 -0.0295594468810467
0.75 -2.7 -0.0310032365560406
0.9 -2.7 -0.0324777155023437
1.05 -2.7 -0.0339826319651489
1.2 -2.7 -0.0355177219635489
1.35 -2.7 -0.0370827095104509
1.5 -2.7 -0.0386773068456078
1.65 -2.7 -0.0403012146813191
1.8 -2.7 -0.0419541224603399
1.95 -2.7 -0.0436357086255039
2.1 -2.7 -0.0453456409005478
2.25 -2.7 -0.0470835765815999
2.4 -2.7 -0.0488491628387797
2.55 -2.7 -0.0506420370273335
2.7 -2.7 -0.0524618270077162
2.85 -2.7 -0.0543081514740195
3 -2.7 -0.0561806202901282
-3 -2.55 0.0153278112934878
-2.85 -2.55 0.0145346873933898
-2.7 -2.55 0.0136353057930481
-2.55 -2.55 0.0126283243789148
-2.4 -2.55 0.0115125178802197
-2.25 -2.55 0.0102867837544272
-2.1 -2.55 0.00895014778062353
-1.95 -2.55 0.00750176932040147
-1.8 -2.55 0.00594094620679875
-1.65 -2.55 0.00426711922325151
-1.5 -2.55 0.00247987613635958
-1.35 -2.55 0.000578955248522028
-1.2 -2.55 -0.00143575156083087
-1.05 -2.55 -0.00356419633361238
-0.9 -2.55 -0.00580617309583698
-0.75 -2.55 -0.0081613165057669
-0.6 -2.55 -0.010629101104387
-0.45 -2.55 -0.013208841180837
-0.3 -2.55 -0.015899691260904
-0.15 -2.55 -0.0187006472220098
0 -2.55 -0.0216105480333678
0.15 -2.55 -0.0228614537295651
0.3 -2.55 -0.02414405417611
0.45 -2.55 -0.0254581578121695
0.6 -2.55 -0.0268035600490052
0.75 -2.55 -0.0281800434272116
0.9 -2.55 -0.0295873777886297
1.05 -2.55 -0.0310253204626161
1.2 -2.55 -0.0324936164663289
1.35 -2.55 -0.0339919987186564
1.5 -2.55 -0.0355201882673829
1.65 -2.55 -0.0370778945291632
1.8 -2.55 -0.0386648155418441
1.95 -2.55 -0.0402806382286537
2.1 -2.55 -0.0419250386737503
2.25 -2.55 -0.0435976824086006
2.4 -2.55 -0.0452982247086426
2.55 -2.55 -0.0470263108996644
2.7 -2.55 -0.0487815766733147
2.85 -2.55 -0.0505636484111502
3 -2.55 -0.0523721435166079
-3 -2.4 0.0144288785939057
-2.85 -2.4 0.0137934343997959
-2.7 -2.4 0.0130527270897697
-2.55 -2.4 0.0122053561529363
-2.4 -2.4 0.0112500357331721
-2.25 -2.4 0.0101856006009393
-2.1 -2.4 0.00901101184309439
-1.95 -2.4 0.00772536223006692
-1.8 -2.4 0.00632788122069894
-1.65 -2.4 0.00481793956635268
-1.5 -2.4 0.00319505347766258
-1.35 -2.4 0.00145888831947572
-1.2 -2.4 -0.000390738197866503
-1.05 -2.4 -0.00235385335977145
-0.9 -2.4 -0.00443032734665327
-0.75 -2.4 -0.00661987171300249
-0.6 -2.4 -0.00892203846404638
-0.45 -2.4 -0.0113362197435191
-0.3 -2.4 -0.0138616481415735
-0.15 -2.4 -0.0164973976272386
0 -2.4 -0.0192423851050779
0.15 -2.4 -0.0204247041701535
0.3 -2.4 -0.0216388372979267
0.45 -2.4 -0.0228846023979398
0.6 -2.4 -0.0241618042928698
0.75 -2.4 -0.0254702348692991
0.9 -2.4 -0.026809673243238
1.05 -2.4 -0.0281798859401045
1.2 -2.4 -0.0295806270888227
1.35 -2.4 -0.0310116386296785
1.5 -2.4 -0.0324726505355371
1.65 -2.4 -0.0339633810460004
1.8 -2.4 -0.0354835369140548
1.95 -2.4 -0.0370328136647353
2.1 -2.4 -0.0386108958653062
2.25 -2.4 -0.0402174574064393
2.4 -2.4 -0.0418521617938449
2.55 -2.4 -0.0435146624498007
2.7 -2.4 -0.0452046030239976
2.85 -2.4 -0.0469216177131108
3 -2.4 -0.0486653315884933
-3 -2.25 0.0133802418644723
-2.85 -2.25 0.0129036620617776
-2.7 -2.25 0.0123228413055998
-2.55 -2.25 0.0116363205737722
-2.4 -2.25 0.0108427532734305
-2.25 -2.25 0.00994091129858699
-2.1 -2.25 0.00892969081587758
-1.95 -2.25 0.00780811773768253
-1.8 -2.25 0.00657535284265087
-1.65 -2.25 0.00523069650489005
-1.5 -2.25 0.00377359299477387
-1.35 -2.25 0.00220363431641213
-1.2 -2.25 0.000520563549352371
-1.05 -2.25 -0.00127572233499995
-0.9 -2.25 -0.00318517020846332
-0.75 -2.25 -0.00520756909523845
-0.6 -2.25 -0.00734254907377152
-0.45 -2.25 -0.00958958078572869
-0.3 -2.25 -0.0119479755620577
-0.15 -2.25 -0.0144168861715018
0 -2.25 -0.0169953081922219
0.15 -2.25 -0.0181083454361788
0.3 -2.25 -0.0192533105390151
0.45 -2.25 -0.0204300309803797
0.6 -2.25 -0.0216383210963006
0.75 -2.25 -0.0228779822234104
0.9 -2.25 -0.0241488028580065
1.05 -2.25 -0.0254505588296614
1.2 -2.25 -0.0267830134890538
1.35 -2.25 -0.0281459179096695
1.5 -2.25 -0.0295390111029864
1.65 -2.25 -0.0309620202467299
1.8 -2.25 -0.032414660925759
1.95 -2.25 -0.0338966373851174
2.1 -2.25 -0.0354076427947566
2.25 -2.25 -0.0369473595254218
2.4 -2.25 -0.038515459435162
2.55 -2.25 -0.0401116041659145
2.7 -2.25 -0.0417354454495926
2.85 -2.25 -0.0433866254230882
3 -2.25 -0.0450647769515933
-3 -2.1 0.0121796522019616
-2.85 -2.1 0.0118630387817101
-2.7 -2.1 0.0114432340095187
-2.55 -2.1 0.0109187202748191
-2.4 -2.1 0.0102880901341749
-2.25 -2.1 0.00955005245393392
-2.1 -2.1 0.00870343829135845
-1.95 -2.1 0.0077472064732601
-1.8 -2.1 0.00668044883190877
-1.65 -2.1 0.00550239505914785
-1.5 -2.1 0.00421241714123977
-1.35 -2.1 0.00281003333899843
-1.2 -2.1 0.0012949116801908
-1.05 -2.1 -0.000333127065950123
-0.9 -2.1 -0.00207410695904342
-0.75 -2.1 -0.00392789502607338
-0.6 -2.1 -0.00589419998756713
-0.45 -2.1 -0.00797257158674336
-0.3 -2.1 -0.0101624005325432
-0.15 -2.1 -0.0124629190628875
0 -2.1 -0.014873202129813
0.15 -2.1 -0.0159162949094358
0.3 -2.1 -0.0169914236433475
0.45 -2.1 -0.0180984254766118
0.6 -2.1 -0.0192371243562007
0.75 -2.1 -0.0204073311686029
0.9 -2.1 -0.0216088438923506
1.05 -2.1 -0.0228414477651824
1.2 -2.1 -0.0241049154655326
1.35 -2.1 -0.0253990073079954
1.5 -2.1 -0.026723471452397
1.65 -2.1 -0.0280780441260653
1.8 -2.1 -0.0294624498588705
1.95 -2.1 -0.0308764017305746
2.1 -2.1 -0.0323196016300116
